id,hex,name,rws,type,unit,scale,min,max,desc,rule,default,auth
200,0xC8,Debug:RiseDelta,R,?uint,Hz,100,,,Acceleration slew rate at current frequency,,,-
201,0xC9,Debug:FallDelta,R,?uint,Hz,100,,,Deceleration slew rate at current frequency,,,-
202,0xCA,Debug:BrakingTime,R,?uint,ms,1,,,Coasting time at current frequency,,,-
203,0xCB,Debug:CurrLimit,R,?uint,A,1000,,,Current limit at current frequency,,,-
204,0xCC,Debug:UpdateN,R,?uint,-,1,,,Effective ramp update interval in PWM cycles,,,-
205,0xCD,Debug:PeakCount,R,?uint,-,1,,,Peak overcurrent events since last clear,,,-
206,0xCE,Debug:ModTrim,R,?int,%,100,,,Total modulation correction applied by the adaptation mechanisms,,,-
207,0xCF,Debug:FoldTrim,R,?int,%,100,,,Modulation correction from the current foldback,,,-
208,0xD0,Debug:ExciteTrim,R,?int,%,100,,,Modulation correction from the excitation trim,,,-
209,0xD1,Debug:DampTrim,R,?int,%,100,,,Modulation correction from the hunting damper,,,-
255,0xFF,Journal:Count,R,uint,-,1,0,32,Number of records returned by last Journal:Read (0..32),,,-
256,0x100,Journal:0Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 0 event code,,,-
257,0x101,Journal:0Hours,R,?uint,h,1,,,Journal entry 0 operating hours,,,-
258,0x102,Journal:1Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 1 event code,,,-
259,0x103,Journal:1Hours,R,?uint,h,1,,,Journal entry 1 operating hours,,,-
260,0x104,Journal:2Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 2 event code,,,-
261,0x105,Journal:2Hours,R,?uint,h,1,,,Journal entry 2 operating hours,,,-
262,0x106,Journal:3Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 3 event code,,,-
263,0x107,Journal:3Hours,R,?uint,h,1,,,Journal entry 3 operating hours,,,-
264,0x108,Journal:4Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 4 event code,,,-
265,0x109,Journal:4Hours,R,?uint,h,1,,,Journal entry 4 operating hours,,,-
266,0x10A,Journal:5Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 5 event code,,,-
267,0x10B,Journal:5Hours,R,?uint,h,1,,,Journal entry 5 operating hours,,,-
268,0x10C,Journal:6Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 6 event code,,,-
269,0x10D,Journal:6Hours,R,?uint,h,1,,,Journal entry 6 operating hours,,,-
270,0x10E,Journal:7Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 7 event code,,,-
271,0x10F,Journal:7Hours,R,?uint,h,1,,,Journal entry 7 operating hours,,,-
272,0x110,Journal:8Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 8 event code,,,-
